,AVERAGE_FELT_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,DATE,MINIMUM_PRECIPITATION,MAXIMUM_HUMIDITY,MAXIMUM_FELT_TEMPERATURE,MAXIMUM_PRECIPITATION,MAXIMUM_TEMPERATURE,AVERAGE_HUMIDITY,AVERAGE_WIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,MINIMUM_HUMIDITY,MINIMUM_DIRECTIONOFWIND,MINIMUM_WIND,MAXIMUM_DIRECTIONOFWIND,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_WIND,AVERAGE_PRECIPITATION
76,4.37,11.52,-3.96,2020-03-17,0.0,100.0,15.21,60.0,13.13,58.99,2.29,104.29,-2.21,5.27,36.4,28.2,0.0,0.0,360.0,0.8,11.47,1.53
77,3.94,9.28,-5.18,2020-03-18,0.0,100.0,13.29,133.3,11.1,73.85,2.84,117.2,-2.88,5.11,31.6,36.24,0.0,0.0,359.0,0.1,17.05,1.72
78,6.03,10.38,-0.54,2020-03-19,0.0,100.0,13.36,133.3,12.2,74.9,3.2,144.32,1.79,7.11,29.5,37.67,0.0,0.0,360.0,3.2,13.89,1.43
79,8.01,13.19,0.01,2020-03-20,0.0,100.0,17.08,60.0,15.43,74.66,1.35,141.8,0.97,7.87,35.3,30.85,0.0,0.0,359.0,2.6,6.84,1.47
80,10.16,14.99,-2.30,2020-03-21,0.0,100.0,21.46,133.3,19.19,66.58,1.25,162.26,-1.05,9.76,38.9,33.3,0.0,0.0,359.0,2.2,6.38,1.57
81,10.03,15.92,0.74,2020-03-22,0.0,100.0,22.83,166.3,21.18,77.28,2.82,159.89,1.16,10.49,38.8,31.92,0.0,0.0,359.0,4.6,11.67,1.93
82,7.41,10.35,2.39,2020-03-23,0.0,100.0,13.73,133.3,11.83,95.37,2.73,95.41,5.76,8.18,19.2,70.47,0.0,0.0,360.0,7.2,15.41,1.54
83,5.43,8.40,0.64,2020-03-24,0.0,100.0,11.58,133.3,9.77,95.47,4.07,82.55,4.41,7.08,15.5,79.61,0.0,0.0,359.0,5.7,17.78,1.44
84,5.33,8.25,0.64,2020-03-25,0.0,100.0,11.21,133.3,9.44,92.07,3.8,82.87,4.34,6.86,14.4,73.5,0.0,0.0,359.0,5.5,16.94,1.13
85,6.49,9.44,0.58,2020-03-26,0.0,100.0,12.6,133.4,10.42,90.59,4.04,86.1,5.19,7.97,17.0,72.47,0.0,0.0,360.0,-39.5,16.02,1.2
86,7.97,11.66,1.15,2020-03-27,0.0,100.0,15.12,133.3,13.59,89.2,2.79,107.04,4.85,8.69,31.4,59.51,0.0,0.0,360.0,-50.8,11.81,1.14
87,7.94,10.45,1.58,2020-03-28,0.0,100.0,16.27,133.3,13.58,90.54,2.2,208.77,4.85,8.36,24.0,48.06,0.0,0.0,360.0,-51.9,9.15,1.31
88,8.45,9.85,3.47,2020-03-29,0.0,100.0,15.68,133.3,11.93,94.34,2.47,229.19,6.3,8.99,15.8,77.04,0.0,0.0,355.0,-20.6,12.85,1.42
89,12.38,15.82,2.97,2020-03-30,0.0,100.0,21.85,60.0,19.96,75.49,2.07,191.51,3.76,12.2,38.9,36.11,0.0,0.0,355.0,-45.6,11.29,0.85
90,6.33,10.32,-1.93,2020-03-31,0.0,100.0,15.48,133.3,14.17,88.12,3.94,133.47,3.48,7.75,33.6,50.94,0.0,0.0,360.0,-24.4,19.33,1.32
91,5.40,8.90,-1.29,2020-04-01,0.0,100.0,12.33,153.3,11.1,92.64,3.33,91.21,3.42,6.76,26.3,67.22,0.0,0.0,359.0,5.5,13.22,1.34
92,5.39,8.52,-2.72,2020-04-02,0.0,100.0,12.72,133.3,10.96,94.19,3.72,117.79,2.6,6.92,22.6,73.08,0.0,0.0,360.0,4.0,17.24,0.95
93,6.87,9.38,-1.15,2020-04-03,0.0,100.0,15.83,150.9,13.39,88.52,1.45,175.86,1.87,6.89,26.4,54.14,0.0,0.0,359.0,3.3,6.45,1.33
94,7.40,8.79,-0.84,2020-04-04,0.0,100.0,15.01,136.2,12.78,93.27,2.83,105.27,0.38,8.06,17.9,66.52,0.0,0.0,359.0,2.0,16.93,1.21
95,7.11,9.30,-1.56,2020-04-05,0.0,100.0,13.85,133.3,12.37,94.86,5.31,94.6,5.05,8.93,19.2,69.85,0.0,0.0,359.0,6.1,25.65,1.03
96,6.48,9.75,-2.95,2020-04-06,0.0,100.0,13.34,133.3,11.55,78.82,5.84,87.37,3.55,8.51,22.4,55.87,0.0,0.0,360.0,5.1,22.69,1.11
97,7.25,13.98,-3.07,2020-04-07,0.0,100.0,14.75,133.3,13.42,69.24,5.58,84.41,3.48,9.08,33.5,39.79,0.0,0.0,359.0,4.1,21.84,1.16
98,7.17,14.63,-0.84,2020-04-08,0.0,100.0,15.32,133.3,13.95,75.18,4.39,86.07,3.89,8.65,38.3,41.88,0.0,0.0,360.0,5.1,16.53,1.26
99,8.07,16.12,-0.76,2020-04-09,0.0,100.0,17.65,166.1,15.96,77.7,2.49,107.69,1.43,8.58,42.4,30.21,0.0,0.0,359.0,5.5,12.53,3.33
100,12.02,18.16,-0.50,2020-04-10,0.0,100.0,24.52,164.1,22.4,57.73,1.35,165.99,0.41,11.45,41.5,11.4,0.0,0.0,359.0,3.8,6.55,2.01
101,11.60,19.51,0.79,2020-04-11,0.0,100.0,23.98,164.5,21.87,67.46,2.45,132.23,0.86,11.63,42.2,21.42,0.0,0.0,360.0,5.5,11.57,1.58
102,9.29,17.85,0.60,2020-04-12,0.0,100.0,19.86,166.3,17.99,72.74,2.81,96.66,1.84,9.74,44.1,23.02,0.0,0.0,360.0,6.8,12.37,4.98
103,12.17,18.58,-0.34,2020-04-13,0.0,100.0,22.41,166.6,20.73,62.41,1.64,167.36,0.78,11.78,43.5,11.45,0.0,0.0,359.0,6.3,8.14,2.71
104,17.81,20.40,5.60,2020-04-14,0.0,100.0,27.05,133.3,25.28,50.52,2.85,214.81,5.57,17.21,43.0,21.9,0.0,0.0,359.0,9.8,14.7,1.06
105,6.71,10.96,-1.38,2020-04-15,0.0,100.0,17.79,133.3,16.06,91.08,3.62,107.59,1.84,7.98,19.4,58.38,0.0,0.0,360.0,4.9,16.93,1.49
106,9.24,16.12,-1.85,2020-04-16,0.0,100.0,19.5,133.3,17.45,58.58,2.27,119.02,0.98,9.54,42.5,27.51,0.0,0.0,359.0,3.9,10.69,1.15
107,13.13,18.62,-1.46,2020-04-17,0.0,100.0,26.1,60.0,23.97,56.82,1.75,192.63,0.0,12.7,45.7,23.11,0.0,0.0,355.0,4.2,6.95,1.21
108,16.67,22.02,4.57,2020-04-18,0.0,100.0,27.3,133.3,26.39,57.41,1.83,193.3,4.64,15.94,48.9,24.47,0.0,0.0,355.0,8.2,9.51,1.15
109,18.96,23.36,6.15,2020-04-19,0.0,100.0,27.52,133.3,28.49,51.76,1.73,194.17,6.15,18.05,51.5,19.19,0.0,0.0,355.0,9.8,7.84,0.9
110,11.23,16.06,2.35,2020-04-20,0.0,100.0,21.94,133.3,19.84,82.63,3.47,134.35,6.83,11.79,41.7,39.61,0.0,0.0,360.0,9.8,17.65,1.25
111,8.71,12.04,1.66,2020-04-21,0.0,100.0,15.08,133.3,13.19,80.62,3.21,82.7,5.74,9.53,21.7,47.09,0.0,0.0,359.0,7.4,17.25,1.12
112,8.70,14.55,0.58,2020-04-22,0.0,100.0,17.37,133.3,15.31,74.62,3.65,87.81,3.69,9.65,41.4,38.35,0.0,0.0,359.0,6.2,14.85,1.28
113,8.49,16.58,1.03,2020-04-23,0.0,100.0,17.03,133.3,15.51,71.29,3.51,83.98,2.57,9.4,54.6,39.57,0.0,0.0,360.0,5.1,13.81,1.06
114,9.16,18.13,0.36,2020-04-24,0.0,100.0,19.36,162.6,17.53,74.91,3.28,95.03,1.89,9.83,43.8,39.44,0.0,0.0,359.0,6.3,14.77,1.4
115,10.85,20.08,-1.10,2020-04-25,0.0,100.0,23.84,163.3,21.64,67.01,1.59,170.8,0.55,10.55,47.3,12.73,0.0,0.0,359.0,5.3,7.07,2.87
116,14.89,21.22,3.71,2020-04-26,0.0,100.0,26.75,133.3,24.48,60.77,2.39,169.42,3.69,14.54,46.6,23.59,0.0,0.0,360.0,9.1,13.51,1.19
117,14.75,21.07,5.25,2020-04-27,0.0,100.0,25.4,163.6,23.36,70.07,2.13,137.05,6.85,14.29,48.1,31.18,0.0,0.0,360.0,9.8,9.17,2.35
118,16.22,21.88,4.62,2020-04-28,0.0,100.0,27.23,159.3,25.1,48.31,2.23,119.99,4.43,15.62,50.5,18.51,0.0,0.0,359.0,9.7,11.01,1.74
119,19.64,23.44,4.83,2020-04-29,0.0,100.0,27.35,133.3,27.88,47.49,1.83,186.95,4.52,18.61,50.8,19.43,0.0,0.0,355.0,9.6,8.69,1.0
120,19.25,24.13,9.28,2020-04-30,0.0,100.0,27.23,133.3,27.38,62.36,1.95,206.71,9.15,18.25,50.7,30.17,0.0,0.0,355.0,9.8,8.93,1.2
